V[0]: 15.000000, V[1]: 15.000000, V[2]: 15.000000, V[3]: 15.000000, velocity: 0.000000, dis: 0.000000
V[0]: 30.000000, V[1]: 30.000000, V[2]: 30.000000, V[3]: 30.000000, velocity: 0.000000, dis: 0.000000
V[0]: 45.000000, V[1]: 45.000000, V[2]: 45.000000, V[3]: 45.000000, velocity: 0.000000, dis: 0.000000
V[0]: 60.000000, V[1]: 60.000000, V[2]: 60.000000, V[3]: 60.000000, velocity: 0.000000, dis: 0.000000
V[0]: 75.000000, V[1]: 75.000000, V[2]: 75.000000, V[3]: 75.000000, velocity: 0.000000, dis: 0.000000
V[0]: 90.000000, V[1]: 90.000000, V[2]: 90.000000, V[3]: 90.000000, velocity: 0.000000, dis: 0.000000
V[0]: 105.000000, V[1]: 105.000000, V[2]: 105.000000, V[3]: 105.000000, velocity: 0.000000, dis: 0.000000
V[0]: 120.000000, V[1]: 120.000000, V[2]: 120.000000, V[3]: 120.000000, velocity: 0.000000, dis: 0.000000
V[0]: 135.000000, V[1]: 135.000000, V[2]: 135.000000, V[3]: 135.000000, velocity: 0.000000, dis: 0.000000
V[0]: 150.000000, V[1]: 150.000000, V[2]: 150.000000, V[3]: 150.000000, velocity: 0.000000, dis: 0.000000
V[0]: 165.000000, V[1]: 165.000000, V[2]: 165.000000, V[3]: 165.000000, velocity: 0.000000, dis: 0.000000
V[0]: 180.000000, V[1]: 180.000000, V[2]: 180.000000, V[3]: 180.000000, velocity: 0.000000, dis: 0.000000
V[0]: 195.000000, V[1]: 195.000000, V[2]: 195.000000, V[3]: 195.000000, velocity: 0.000000, dis: 0.000000
V[0]: 210.000000, V[1]: 210.000000, V[2]: 210.000000, V[3]: 210.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 225.000000, V[1]: 225.000000, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 15.000000, V[1]: 15.000000, V[2]: 15.000000, V[3]: 15.000000, velocity: 0.000000, dis: 0.000000
V[0]: 30.000000, V[1]: 30.000000, V[2]: 30.000000, V[3]: 30.000000, velocity: 0.000000, dis: 0.000000
V[0]: 45.000000, V[1]: 45.000000, V[2]: 45.000000, V[3]: 45.000000, velocity: 0.000000, dis: 0.000000
V[0]: 60.000000, V[1]: 69.000000, V[2]: 60.000000, V[3]: 81.000000, velocity: 0.000000, dis: 0.000000
V[0]: 82.500000, V[1]: 90.599998, V[2]: 97.500000, V[3]: 120.599998, velocity: 0.000000, dis: 0.000000
V[0]: 102.750000, V[1]: 110.040001, V[2]: 138.750000, V[3]: 164.160004, velocity: 0.000000, dis: 0.000000
V[0]: 120.974998, V[1]: 127.536003, V[2]: 184.125000, V[3]: 212.076004, velocity: 0.000000, dis: 0.000000
V[0]: 137.377502, V[1]: 142.536011, V[2]: 234.037506, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 152.377502, V[1]: 157.536011, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 167.377502, V[1]: 172.536011, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 182.377502, V[1]: 187.536011, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
V[0]: 197.377502, V[1]: 202.536011, V[2]: 225.000000, V[3]: 225.000000, velocity: 0.000000, dis: 0.000000
